ID,EXISTENCE
1,Yes
2,No
3,No
4,No
5,Yes
6,No
7,Yes
8,Yes
9,Yes
10,Yes
11,Yes
12,Yes
13,Yes
14,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,Yes
21,Yes
22,Yes
23,Yes
24,Yes
25,Yes
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,Yes
32,Yes
33,Yes
34,Yes
35,Yes
36,No
37,Yes
38,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
44,Yes
45,Yes
46,Yes
47,Yes
48,Yes
49,Yes
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,No
69,Yes
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,Yes
79,Yes
80,Yes
81,Yes
82,Yes
83,Yes
84,Yes
85,Yes
86,Yes
87,Yes
88,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
97,Yes
98,Yes
99,Yes
100,Yes
101,Yes
102,Yes
103,Yes
104,Yes
105,Yes
106,Yes
107,Yes
108,Yes
109,Yes
110,Yes
111,Yes
112,Yes
113,Yes
114,Yes
115,Yes
116,Yes
117,Yes
118,Yes
119,No
120,No
121,Yes
122,No
123,Yes
124,No
125,No
126,No
127,No
128,No
129,No
130,No
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,Yes
137,No
138,No
139,Yes
140,Yes
141,Yes
142,Yes
143,Yes
144,Yes
145,Yes
146,No
147,Yes
148,Yes
149,No
150,No
151,Yes
152,Yes
153,Yes
154,No
155,Yes
156,Yes
157,Yes
158,Yes
159,No
160,No
161,Yes
162,Yes
163,Yes
164,Yes
165,Yes
166,Yes
167,Yes
168,Yes
169,No
170,Yes
171,No
172,Yes
173,Yes
174,Yes
175,Yes
176,Yes
177,Yes
178,No
179,Yes
180,Yes
181,Yes
182,No
183,Yes
184,Yes
185,No
186,Yes
187,Yes
188,No
189,No
190,No
191,No
192,Yes
193,Yes
194,No
195,Yes
196,No
197,Yes
198,Yes
199,Yes
200,Yes
201,No
202,Yes
203,Yes
204,No
205,Yes
206,No
207,Yes
208,No
209,Yes
210,Yes
211,Yes
212,No
213,Yes
214,No
215,No
216,No
217,Yes
218,No
219,Yes
220,No
221,No
222,No
223,Yes
224,No
225,No
226,No
227,No
228,No
229,No
230,No
231,No
232,Yes
233,No
234,No
235,No
236,No
237,No
238,No
239,Yes
240,Yes
241,No
242,No
243,No
244,No
245,No
246,No
247,Yes
248,Yes
249,No
250,Yes
251,No
252,No
253,No
254,No
255,No
256,Yes
257,No
258,Yes
259,No
260,Yes
261,No
262,No
263,No
264,No
265,Yes
266,No
267,Yes
268,No
269,No
270,Yes
271,Yes
272,Yes
273,No
274,No
275,No
276,No
277,No
278,No
279,Yes
280,No
281,No
282,No
283,No
284,Yes
285,No
286,No
287,No
288,No
289,No
290,Yes
291,No
292,Yes
293,No
294,No
295,No
296,Yes
297,No
298,Yes
299,Yes
300,No
